0.743,0.743,0.256,0.102
0.711,0.711,0.244,0.105
0.695,0.695,0.254,0.126
0.689,0.689,0.328,0.16
0.695,0.695,0.405,0.184
0.73,0.73,0.454,0.202
0.778,0.778,0.459,0.231
0.806,0.806,0.433,0.265
0.814,0.814,0.402,0.281
0.803,0.803,0.402,0.272
0.814,0.814,0.392,0.264
0.819,0.819,0.39,0.262
0.83,0.83,0.381,0.253
0.823,0.823,0.383,0.261
0.831,0.831,0.379,0.255
0.821,0.821,0.379,0.263
0.813,0.813,0.376,0.27
0.785,0.785,0.346,0.286
0.776,0.776,0.339,0.296
0.777,0.777,0.332,0.312
0.79,0.79,0.281,0.36
0.791,0.791,0.242,0.38
0.793,0.793,0.253,0.348
0.804,0.804,0.308,0.328
0.831,0.831,0.335,0.312
0.848,0.848,0.325,0.294
0.86,0.86,0.366,0.294
0.883,0.883,0.443,0.376
0.893,0.893,0.473,0.4
0.908,0.908,0.435,0.42
0.921,0.921,0.393,0.437
0.917,0.917,0.394,0.431
0.914,0.914,0.371,0.395
0.907,0.907,0.367,0.362
0.891,0.891,0.356,0.356
0.879,0.879,0.367,0.367
0.866,0.866,0.371,0.383
0.854,0.854,0.38,0.395
0.855,0.855,0.386,0.418
0.863,0.863,0.398,0.437
0.872,0.872,0.402,0.46
0.88,0.88,0.419,0.485
0.886,0.886,0.443,0.497
0.886,0.886,0.44,0.535
0.877,0.877,0.461,0.59
0.862,0.862,0.447,0.599
0.853,0.853,0.434,0.583
0.851,0.851,0.432,0.562
0.857,0.857,0.434,0.544
0.864,0.864,0.44,0.523
0.869,0.869,0.435,0.492
0.876,0.876,0.401,0.459
0.881,0.881,0.415,0.458
0.879,0.879,0.439,0.459
0.869,0.869,0.431,0.43
0.846,0.846,0.38,0.407
0.808,0.808,0.335,0.389
0.765,0.765,0.328,0.393
0.732,0.732,0.329,0.394
0.72,0.72,0.311,0.388
0.724,0.724,0.323,0.383
0.73,0.73,0.323,0.379
0.737,0.737,0.312,0.367
0.747,0.747,0.308,0.363
0.755,0.755,0.312,0.37
0.766,0.766,0.312,0.373
0.776,0.776,0.348,0.388
0.788,0.788,0.376,0.383
0.797,0.797,0.337,0.428
0.782,0.782,0.337,0.405
0.753,0.753,0.346,0.385
0.699,0.699,0.292,0.362
0.638,0.638,0.257,0.365
0.61,0.61,0.255,0.378
0.623,0.623,0.254,0.345
0.677,0.677,0.325,0.386
0.734,0.734,0.394,0.422
0.758,0.758,0.391,0.435
0.735,0.735,0.367,0.438
0.718,0.718,0.332,0.437
0.705,0.705,0.295,0.402
0.711,0.711,0.283,0.353
0.724,0.724,0.264,0.336
0.73,0.73,0.259,0.334
0.719,0.719,0.241,0.317
0.703,0.703,0.221,0.311
0.696,0.696,0.22,0.305
0.722,0.722,0.233,0.294
0.77,0.77,0.248,0.274
0.795,0.795,0.23,0.256
0.77,0.77,0.187,0.241
0.702,0.702,0.164,0.231
0.635,0.635,0.167,0.17
0.589,0.589,0.146,0.137
0.549,0.549,0.13,0.127
0.486,0.486,0.106,0.108
0.433,0.433,0.086,0.089
0.388,0.388,0.083,0.077
0.377,0.377,0.084,0.08
0.418,0.418,0.118,0.112
0.533,0.533,0.191,0.163
0.633,0.633,0.305,0.193
0.657,0.657,0.355,0.229
0.666,0.666,0.364,0.261
0.71,0.71,0.371,0.254
0.758,0.758,0.387,0.248
0.785,0.785,0.395,0.256
0.809,0.809,0.415,0.253
0.828,0.828,0.42,0.245
0.849,0.849,0.419,0.258
0.89,0.89,0.437,0.28
0.914,0.914,0.477,0.309
0.918,0.918,0.519,0.355
0.936,0.936,0.537,0.401
0.955,0.955,0.558,0.442
0.97,0.97,0.595,0.465
0.979,0.979,0.623,0.516
0.977,0.977,0.638,0.494
0.975,0.975,0.647,0.503
0.966,0.966,0.648,0.532
0.943,0.943,0.59,0.538
0.92,0.92,0.54,0.541
0.896,0.896,0.501,0.535
0.889,0.889,0.491,0.533
0.88,0.88,0.488,0.498
0.863,0.863,0.461,0.452
0.875,0.875,0.455,0.397
0.895,0.895,0.445,0.354
0.896,0.896,0.432,0.315
0.894,0.894,0.42,0.289
0.893,0.893,0.407,0.29
0.894,0.894,0.401,0.325
0.893,0.893,0.407,0.333
0.89,0.89,0.406,0.305
0.886,0.886,0.397,0.265
0.88,0.88,0.388,0.233
0.863,0.863,0.382,0.21
0.839,0.839,0.386,0.204
0.831,0.831,0.399,0.218
0.819,0.819,0.392,0.243
0.811,0.811,0.32,0.219
0.806,0.806,0.261,0.169
0.779,0.779,0.236,0.154
0.768,0.768,0.246,0.154
0.75,0.75,0.229,0.168
0.719,0.719,0.217,0.199
0.717,0.717,0.279,0.245
0.741,0.741,0.367,0.309
0.755,0.755,0.43,0.364
0.746,0.746,0.455,0.358
0.731,0.731,0.458,0.306
0.72,0.72,0.438,0.233
0.726,0.726,0.398,0.165
0.671,0.671,0.353,0.123
0.622,0.622,0.317,0.099
0.544,0.544,0.283,0.083
0.457,0.457,0.243,0.068
0.369,0.369,0.198,0.052
0.305,0.305,0.142,0.042
0.272,0.272,0.099,0.041
